Id,SimulationId,VectorId,NeedW,FactW,WheelNumber
17627,1780584401,7563,-0.69,-0.59,1
17628,1780584401,7563,-0.31,-0.32,2
17629,1780584401,7564,-0.58,-0.52,1
17630,1780584401,7564,-0.49,-0.42,2
17631,1780584401,7565,-0.54,-0.47,1
17632,1780584401,7565,-0.53,-0.44,2
17633,1780584401,7566,-0.43,-0.41,1
17634,1780584401,7566,-0.62,-0.53,2
17635,1780584401,7567,-0.36,-0.35,1
17636,1780584401,7567,-0.66,-0.58,2
17637,1780584401,7568,-0.23,-0.21,1
17638,1780584401,7568,-0.72,-0.59,2
17639,1780584401,7569,-0.10,-0.45,1
17640,1780584401,7569,-0.75,-0.66,2
17641,1780584401,7570,0.03,-0.13,1
17642,1780584401,7570,-0.75,-0.69,2
17643,1780584401,7571,0.24,0.47,1
17644,1780584401,7571,-0.72,-0.72,2
17645,1780584401,7572,0.30,0.24,1
17646,1780584401,7572,-0.70,-0.63,2
17647,1780584401,7573,0.46,0.33,1
17648,1780584401,7573,-0.60,-0.58,2
17649,1780584401,7574,0.47,0.35,1
17650,1780584401,7574,-0.59,-0.49,2
17651,1780584401,7575,0.57,0.46,1
17652,1780584401,7575,-0.50,-0.44,2
17653,1780584401,7576,0.58,0.51,1
17654,1780584401,7576,-0.49,-0.40,2
17655,1780584401,7577,0.62,0.56,1
17656,1780584401,7577,-0.43,-0.42,2
17657,1780584401,7578,0.63,0.63,1
17658,1780584401,7578,-0.42,-0.37,2
17659,1780584401,7579,0.65,0.60,1
17660,1780584401,7579,-0.38,-0.27,2
17661,1780584401,7580,0.67,0.65,1
17662,1780584401,7580,-0.36,-0.23,2
17663,1780584401,7581,0.67,0.61,1
17664,1780584401,7581,-0.34,-0.27,2
17665,1780584401,7582,0.68,0.62,1
17666,1780584401,7582,-0.32,-0.21,2
17667,1780584401,7583,0.69,0.60,1
17668,1780584401,7583,-0.32,-0.26,2
17669,1780584401,7584,0.70,0.64,1
17670,1780584401,7584,-0.30,-0.19,2
17671,1780584401,7585,0.70,0.61,1
17672,1780584401,7585,-0.29,-0.21,2
17673,1780584401,7586,0.71,0.64,1
17674,1780584401,7586,-0.27,-0.19,2
17675,1780584401,7587,0.71,0.67,1
17676,1780584401,7587,-0.27,-0.22,2
17677,1780584401,7588,0.70,0.60,1
17678,1780584401,7588,-0.28,-0.23,2
17679,1780584401,7589,0.70,0.65,1
17680,1780584401,7589,-0.28,-0.23,2
17681,1780584401,7590,0.70,0.66,1
17682,1780584401,7590,-0.30,-0.24,2
17683,1780584401,7591,0.70,0.66,1
17684,1780584401,7591,-0.30,-0.25,2
17685,1780584401,7592,0.69,0.63,1
17686,1780584401,7592,-0.32,-0.09,2
17687,1780584401,7593,0.68,0.67,1
17688,1780584401,7593,-0.33,-0.24,2
17689,1780584401,7594,0.68,0.61,1
17690,1780584401,7594,-0.34,-0.25,2
17691,1780584401,7595,0.67,0.62,1
17692,1780584401,7595,-0.36,-0.25,2
17693,1780584401,7596,0.66,0.59,1
17694,1780584401,7596,-0.37,-0.28,2
17695,1780584401,7597,0.64,0.55,1
17696,1780584401,7597,-0.40,-0.33,2
17697,1780584401,7598,0.63,0.54,1
17698,1780584401,7598,-0.42,-0.33,2
17699,1780584401,7599,0.60,0.51,1
17700,1780584401,7599,-0.46,-0.38,2
17701,1780584401,7600,0.58,0.49,1
17702,1780584401,7600,-0.48,-0.40,2
17703,1780584401,7601,0.50,0.40,1
17704,1780584401,7601,-0.56,-0.46,2
17705,1780584401,7602,0.49,0.41,1
17706,1780584401,7602,-0.58,-0.49,2
17707,1780584401,7603,0.32,0.32,1
17708,1780584401,7603,-0.69,-0.60,2
17709,1780584401,7604,0.29,0.25,1
17710,1780584401,7604,-0.70,-0.59,2
17711,1780584401,7605,-0.05,-0.31,1
17712,1780584401,7605,-0.75,-0.68,2
17713,1780584401,7606,-0.11,0.42,1
17714,1780584401,7606,-0.75,-0.63,2
17715,1780584401,7607,-0.47,-0.38,1
17716,1780584401,7607,-0.59,-0.46,2
17717,1780584401,7608,-0.56,-0.53,1
17718,1780584401,7608,-0.51,-0.42,2
17719,1780584401,7609,-0.68,-0.58,1
17720,1780584401,7609,-0.33,-0.20,2
17721,1780584401,7610,-0.72,-0.56,1
17722,1780584401,7610,-0.22,-0.23,2
17723,1780584401,7611,-0.74,-0.58,1
17724,1780584401,7611,-0.16,-0.18,2
17725,1780584401,7612,-0.75,-0.65,1
17726,1780584401,7612,-0.09,-0.24,2
17727,1780584401,7613,-0.75,-0.65,1
17728,1780584401,7613,-0.07,-0.39,2
17729,1780584401,7614,-0.76,-0.63,1
17730,1780584401,7614,-0.02,0.00,2
17731,1780584401,7615,-0.76,-0.63,1
17732,1780584401,7615,-0.01,0.38,2
17733,1780584401,7616,-0.76,-0.67,1
17734,1780584401,7616,0.02,0.16,2
17735,1780584401,7617,-0.76,-0.66,1
17736,1780584401,7617,0.03,0.04,2
17737,1780584401,7618,-0.76,-0.71,1
17738,1780584401,7618,0.05,0.00,2
17739,1780584401,7619,-0.76,-0.67,1
17740,1780584401,7619,0.05,0.03,2
17741,1780584401,7620,-0.76,-0.73,1
17742,1780584401,7620,0.07,0.21,2
17743,1780584401,7621,-0.75,-0.69,1
17744,1780584401,7621,0.08,0.04,2
17745,1780584401,7622,-0.75,-0.70,1
17746,1780584401,7622,0.09,0.14,2
17747,1780584401,7623,-0.75,-0.64,1
17748,1780584401,7623,0.09,0.52,2
17749,1780584401,7624,-0.75,-0.63,1
17750,1780584401,7624,0.11,0.55,2
17751,1780584401,7625,-0.75,-0.65,1
17752,1780584401,7625,0.12,0.13,2
17753,1780584401,7626,-0.75,-0.65,1
17754,1780584401,7626,0.11,0.38,2
17755,1780584401,7627,-0.75,-0.66,1
17756,1780584401,7627,0.12,0.38,2
17757,1780584401,7628,-0.75,-0.64,1
17758,1780584401,7628,0.12,0.24,2
17759,1780584401,7629,-0.75,-0.65,1
17760,1780584401,7629,0.13,0.11,2
17761,1780584401,7630,-0.75,-0.65,1
17762,1780584401,7630,0.14,0.29,2
17763,1780584401,7631,-0.75,-0.70,1
17764,1780584401,7631,0.14,0.26,2
17765,1780584401,7632,-0.75,-0.68,1
17766,1780584401,7632,0.14,0.15,2
17767,1780584401,7633,-0.74,-0.69,1
17768,1780584401,7633,0.16,0.33,2
17769,1780584401,7634,-0.74,-0.66,1
17770,1780584401,7634,0.15,0.23,2
17771,1780584401,7635,-0.74,-0.65,1
17772,1780584401,7635,0.16,0.17,2
17773,1780584401,7636,-0.74,-0.67,1
17774,1780584401,7636,0.18,0.20,2
17775,1780584401,7637,-0.74,-0.63,1
17776,1780584401,7637,0.19,0.57,2
17777,1780584401,7638,-0.72,-0.62,1
17778,1780584401,7638,0.22,0.17,2
17779,1780584401,7639,-0.72,-0.62,1
17780,1780584401,7639,0.23,0.17,2
17781,1780584401,7640,-0.71,-0.61,1
17782,1780584401,7640,0.26,0.25,2
17783,1780584401,7641,-0.71,-0.64,1
17784,1780584401,7641,0.27,0.20,2
17785,1780584401,7642,-0.70,-0.60,1
17786,1780584401,7642,0.30,0.22,2
17787,1780584401,7643,-0.70,-0.63,1
17788,1780584401,7643,0.31,0.23,2
17789,1780584401,7644,-0.67,-0.60,1
17790,1780584401,7644,0.36,0.29,2
17791,1780584401,7645,-0.67,-0.59,1
17792,1780584401,7645,0.36,0.26,2
17793,1780584401,7646,-0.64,-0.53,1
17794,1780584401,7646,0.41,0.32,2
17795,1780584401,7647,-0.22,-0.61,1
17796,1780584401,7647,0.72,0.51,2
17797,1780584401,7648,-0.16,-0.10,1
17798,1780584401,7648,0.74,0.62,2
17799,1780584401,7649,-0.14,0.30,1
17800,1780584401,7649,0.74,0.58,2
17801,1780584401,7650,-0.09,-0.18,1
17802,1780584401,7650,0.75,0.60,2
17803,1780584401,7651,-0.06,0.00,1
17804,1780584401,7651,0.76,0.65,2
17805,1780584401,7652,-0.03,0.00,1
17806,1780584401,7652,0.76,0.65,2
17807,1780584401,7653,-0.00,0.00,1
17808,1780584401,7653,0.76,0.68,2
17809,1780584401,7654,0.02,0.00,1
17810,1780584401,7654,0.76,0.66,2
17811,1780584401,7655,0.05,0.00,1
17812,1780584401,7655,0.75,0.67,2
17813,1780584401,7656,0.06,0.02,1
17814,1780584401,7656,0.75,0.66,2
17815,1780584401,7657,0.10,0.13,1
17816,1780584401,7657,0.75,0.66,2
17817,1780584401,7658,0.11,0.33,1
17818,1780584401,7658,0.75,0.64,2
17819,1780584401,7659,0.14,-0.43,1
17820,1780584401,7659,0.74,0.58,2
17821,1780584401,7660,0.14,-0.32,1
17822,1780584401,7660,0.74,0.65,2
17823,1780584401,7661,0.17,0.39,1
17824,1780584401,7661,0.74,0.63,2
17825,1780584401,7662,0.17,0.15,1
17826,1780584401,7662,0.73,0.64,2
17827,1780584401,7663,0.20,0.18,1
17828,1780584401,7663,0.73,0.60,2
17829,1780584401,7664,0.20,0.18,1
17830,1780584401,7664,0.73,0.63,2
17831,1780584401,7665,0.23,0.18,1
17832,1780584401,7665,0.72,0.60,2
17833,1780584401,7666,0.25,0.20,1
17834,1780584401,7666,0.71,0.63,2
17835,1780584401,7667,0.27,0.21,1
17836,1780584401,7667,0.71,0.61,2
17837,1780584401,7668,0.30,0.28,1
17838,1780584401,7668,0.69,0.60,2
17839,1780584401,7669,0.31,0.31,1
17840,1780584401,7669,0.69,0.60,2
17841,1780584401,7670,0.35,0.27,1
17842,1780584401,7670,0.67,0.58,2
17843,1780584401,7671,0.36,0.36,1
17844,1780584401,7671,0.67,0.55,2
17845,1780584401,7672,0.41,0.34,1
17846,1780584401,7672,0.64,0.56,2
17847,1780584401,7673,0.41,0.39,1
17848,1780584401,7673,0.63,0.52,2
17849,1780584401,7674,0.47,0.38,1
17850,1780584401,7674,0.59,0.51,2
17851,1780584401,7675,0.47,0.39,1
17852,1780584401,7675,0.59,0.50,2
17853,1780584401,7676,0.53,0.39,1
17854,1780584401,7676,0.54,0.48,2
17855,1780584401,7677,0.55,0.45,1
17856,1780584401,7677,0.52,0.43,2
17857,1780584401,7678,0.59,0.50,1
17858,1780584401,7678,0.48,0.40,2
17859,1780584401,7679,0.60,0.52,1
17860,1780584401,7679,0.45,0.38,2
17861,1780584401,7680,0.63,0.56,1
17862,1780584401,7680,0.42,0.41,2
17863,1780584401,7681,0.67,0.57,1
17864,1780584401,7681,0.36,0.28,2
17865,1780584401,7682,0.67,0.55,1
17866,1780584401,7682,0.35,0.30,2
17867,1780584401,7683,0.71,0.53,1
17868,1780584401,7683,0.26,0.21,2
17869,1780584401,7684,0.71,0.62,1
17870,1780584401,7684,0.27,0.27,2
17871,1780584401,7685,0.74,0.59,1
17872,1780584401,7685,0.17,0.14,2
17873,1780584401,7686,0.73,0.66,1
17874,1780584401,7686,0.18,0.15,2
17875,1780584401,7687,0.75,0.64,1
17876,1780584401,7687,0.10,-0.27,2
17877,1780584401,7688,0.75,0.67,1
17878,1780584401,7688,0.09,-0.15,2
17879,1780584401,7689,0.76,0.66,1
17880,1780584401,7689,0.04,0.12,2
17881,1780584401,7690,0.76,0.66,1
17882,1780584401,7690,0.02,0.09,2
17883,1780584401,7691,0.76,0.70,1
17884,1780584401,7691,-0.02,0.35,2
17885,1780584401,7692,0.76,0.74,1
17886,1780584401,7692,-0.05,-0.07,2
17887,1780584401,7693,0.75,0.71,1
17888,1780584401,7693,-0.06,-0.53,2
17889,1780584401,7694,0.75,0.66,1
17890,1780584401,7694,-0.10,-0.50,2
17891,1780584401,7695,0.75,0.66,1
17892,1780584401,7695,-0.11,0.41,2
17893,1780584401,7696,0.74,0.66,1
17894,1780584401,7696,-0.14,0.40,2
17895,1780584401,7697,0.74,0.65,1
17896,1780584401,7697,-0.15,-0.43,2
17897,1780584401,7698,0.19,0.52,1
17898,1780584401,7698,0.73,0.52,2
17899,1780584401,7699,0.74,0.76,1
17900,1780584401,7699,-0.19,0.14,2
17901,1780584401,7700,0.73,0.66,1
17902,1780584401,7700,-0.22,-0.17,2
17903,1780584401,7701,0.73,0.67,1
17904,1780584401,7701,-0.22,-0.19,2
17905,1780584401,7702,0.72,0.66,1
17906,1780584401,7702,-0.24,-0.14,2
17907,1780584401,7703,0.72,0.70,1
17908,1780584401,7703,-0.24,-0.22,2
17909,1780584401,7704,0.72,0.66,1
17910,1780584401,7704,-0.24,-0.22,2
17911,1780584401,7705,0.71,0.64,1
17912,1780584401,7705,-0.25,-0.19,2
17913,1780584401,7706,0.71,0.60,1
17914,1780584401,7706,-0.25,-0.21,2
17915,1780584401,7707,0.71,0.63,1
17916,1780584401,7707,-0.27,-0.23,2
17917,1780584401,7708,0.71,0.60,1
17918,1780584401,7708,-0.27,-0.21,2
17919,1780584401,7709,0.70,0.63,1
17920,1780584401,7709,-0.28,-0.20,2
17921,1780584401,7710,0.71,0.63,1
17922,1780584401,7710,-0.28,-0.25,2
17923,1780584401,7711,0.70,0.57,1
17924,1780584401,7711,-0.30,-0.28,2
17925,1780584401,7712,0.70,0.63,1
17926,1780584401,7712,-0.29,-0.20,2
17927,1780584401,7713,0.69,0.59,1
17928,1780584401,7713,-0.32,-0.23,2
17929,1780584401,7714,0.69,0.60,1
17930,1780584401,7714,-0.31,-0.27,2
17931,1780584401,7715,0.68,0.58,1
17932,1780584401,7715,-0.34,-0.28,2
17933,1780584401,7716,0.68,0.58,1
17934,1780584401,7716,-0.34,-0.30,2
17935,1780584401,7717,0.67,0.58,1
17936,1780584401,7717,-0.36,-0.29,2
17937,1780584401,7718,0.66,0.56,1
17938,1780584401,7718,-0.38,-0.33,2
17939,1780584401,7719,0.65,0.59,1
17940,1780584401,7719,-0.40,-0.35,2
17941,1780584401,7720,0.63,0.57,1
17942,1780584401,7720,-0.42,-0.35,2
17943,1780584401,7721,0.62,0.58,1
17944,1780584401,7721,-0.44,-0.36,2
17945,1780584401,7721,0.62,-0.59,1
17946,1780584401,7721,-0.44,0.36,2
